"Form","Official form name","Section","Field label","Type","Required?","Our confidence","What the field is for (help text)","Evidence we have","REVIEW — Is this box on the real form? (Y/N)","REVIEW — Correct label / type / required, if wrong","REVIEW — Comments"
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","4. Witness views","Witness's view on his or her eligibility","textarea","Yes","documented","What the witness — or a person acting on their behalf — has said about being eligible. A court considering a special measures application must take account of all the circumstances and in particular the views of the witness, so record them even if the witness is unsure; do not leave this blank.","MG2 specimen section 4, first bullet 'his/her eligibility?'. 'Essential that the witness is asked for their views' — MoG s.3 note 3.2.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","4. Witness views","Witness's view on whether special measures would improve the quality of their evidence","textarea","Yes","documented","The witness's own view on whether the measures would help them give better evidence.","MG2 specimen section 4, second bullet 'whether Special Measures would be likely to improve the quality of his/her evidence?'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","4. Witness views","Witness's view on the measure(s) proposed","textarea","Yes","documented","Which of the measures ticked in section 3 the witness wants, and any they object to.","MG2 specimen section 4, third bullet 'the measure(s) proposed?'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","5. Views of other interested parties","Views of any other interested parties or agencies","textarea","No","documented","e.g. parent or guardian, doctor, social services, school — include contact details and addresses. Complete only where the witness's views can be supported or assisted by such a person. For a child this may cover the carer's view about going to court and how supportive they are, the child's developmental age, linguistic and emotional development (grasp of time intervals may bear on specimen charges), attention span (relevant to requests for breaks), and the child's, carer's and police view on how the child should give evidence.","MG2 specimen section 5 heading and free-text box; the list of what to include is MoG s.3 note 3.3.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","5. Views of other interested parties","Is there any other supporting material attached?","select","Yes","documented","Yes / No — a drop-down on the form.","MG2 specimen section 5: 'Is there any other supporting material attached? Yes/No'; FORMDROPDOWN in the MG2.docx template.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","5. Views of other interested parties","If yes, list the supporting material","textarea","No","documented","List each item of supporting material attached to this assessment, e.g. a medical or psychological report.","MG2 specimen section 5: ""If 'Yes' please list:"" followed by a free-text box.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","6. Special measures meeting","Is a special measures meeting required?","select","Yes","documented","Yes / No. Where a meeting is held, police and prosecutor must keep a record of the discussion and the decisions made, and the police must then tell the witness what was decided.","MG2 specimen section 6: 'Is a Special Measures Meeting required? Yes/No' (FORMDROPDOWN in the template). Record-keeping and feedback duty from CPS Special Measures legal guidance.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Assessing officer","Assessing officer name","text","Yes","documented","Name of the officer completing this MG2.","MG2 specimen 'Assessing Officer:' block, box 'Name:'; MoG annotation on the specimen reads 'This is the officer completing the MG2.'","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Assessing officer","Rank / job title and number","text","Yes","documented","Rank or job title and collar/staff number of the assessing officer.","MG2 specimen box 'Rank / job title & No.:'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Assessing officer","Date of assessment","date","Yes","documented","Date this assessment was completed.","MG2 specimen box 'Date:' in the Assessing Officer block.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Assessing officer","Telephone","text","No","documented","Daytime contact number for the assessing officer, so the prosecutor can follow up before making the application.","MG2 specimen box 'Tel.:'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Assessing officer","Mobile","text","No","documented","Mobile number for the assessing officer.","MG2 specimen box 'Mob.:'.","","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Assessing officer","E-mail","text","No","documented","E-mail address for the assessing officer.","MG2 specimen box 'E-mail:'.","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Case and suspect details","Unique Reference Number (URN)","text","Yes","documented","The pre-trial information URN (PTI URN) for the investigation. The CPS will not give written advice without it.","Two Way Interface Business Process 3.4.2.1 — ""the case reference number (PTI URN) (this is mandatory)""; Home Office guidance ""The Crown Prosecution Service will not give written advice unless you give them a URN for the case.""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Case and suspect details","Arrest/Summons Number (ASN)","text","Yes","documented","The ASN for this suspect. Every pre-charge request must be made against a named suspect who has an ASN; where no suspect is yet named forces use a dummy name and ASN by local convention.","Two Way Interface Business Process 3.4.2.1 and A.1.2 — v2 requests ""must always be sought from the CPS in the context of a named suspect who has an Arrest Summons Number""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Case and suspect details","Suspect full name","text","Yes","documented","Full name of the suspect the decision is sought for. A suspect appears on one MG3 only; further requests for the same suspect go on an MG3A.","DG6 Annex 4 — ""The suspect(s) ... Personal details: name""; TWI 3.4.2.1 ""suspect details (mandatory)""; TWI 3.4.1 on the one-MG3-per-suspect rule","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Case and suspect details","Suspect date of birth","date","Yes","documented","Date of birth as confirmed by the suspect or verified from custody records.","DG6 Annex 4 — ""date of birth""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Case and suspect details","Gender","select","No","documented","Recorded where confirmed by the suspect.","DG6 Annex 4 — ""gender"" (footnote: ""This information should be provided in every case where confirmed by a suspect"")","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Case and suspect details","Ethnicity and nationality","text","No","documented","Self-defined ethnicity and nationality of the suspect.","DG6 Annex 4 — ""ethnicity and nationality""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Case and suspect details","Language / dialect and interpreter requirement","text","No","documented","The main language spoken and any relevant dialect, where an interpreter is required.","DG6 Annex 4 — ""the main language spoken and any relevant dialect, if an interpreter is required""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Case and suspect details","Mental health issues affecting the decision","textarea","No","documented","Any indication that the suspect has a mental health condition or disorder that may affect the decision to prosecute or the handling of the case.","DG6 Annex 4 — ""any indication that the suspect(s) has a mental health issue that may impact on the decision making or handling of the case""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Case and suspect details","Date of arrest","date","No","documented","Date of arrest for this suspect. Annex 4 requires both date and time of arrest.","DG6 Annex 4 — ""in respect of each, the date and time of their arrest""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Case and suspect details","Suspect status","select","Yes","documented","Whether the suspect is in custody, on pre-charge bail, released under investigation, or otherwise released at the time of the referral.","DG6 Annex 4 — ""in respect of each, their status: custody, bail, or otherwise""; CPS guidance that the MG3 should record whether the suspect is on bail or RUI when submitted","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Case and suspect details","PACE clock status","text","No","documented","Current state of the PACE detention clock and its impact on the investigation. Required in all cases where the suspect is in custody.","DG6 Annex 4 — ""the current status of the PACE clock and its impact on the investigation"" (footnote: needed in all cases where the suspect is in custody)","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Case and suspect details","Previous convictions / out-of-court disposals available","checkbox","No","documented","Tick where an up-to-date record of previous convictions, cautions or final warnings accompanies the referral.","TWI 3.4.2.1 — ""a flag indicating previous convictions, final warning etc (optional)""; DG6 Desktop Guide pre-charge table ""An up to date record of previous convictions (MG16)""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Case and suspect details","Current or pending proceedings","textarea","No","documented","Any live or pending proceedings against the suspect, and any previous similar offending relevant to proof of the offence.","DG6 Annex 4 — ""any current or pending proceedings""; ""any previous similar offending relevant to proof of the offence""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Referral","Point of investigation at which the decision is sought","select","Yes","documented","The stage the referral is made at. The MG3 enumerates: pre-arrest, post-arrest, post-interview, post bail for further enquiries, and bail for charging decision.","TWI 3.4.1 — ""The police may ask for a pre-charge decision at a number of points during the investigation. These points, as enumerated on the MG3, are: Pre arrest; Post arrest; Post interview; Post bail for further enquiries; Bail for charging decision.""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Referral","Code Test applied","select","Yes","documented","Whether the referral is made on the Full Code Test or the Threshold Test (or is a request for Early Advice / Prosecution Advice).","Home Office statistics publication — the MG3 records ""whether charges were proposed under the Threshold or Full Code Test""; DG6 4.17 and Annex 4 ""Code Test""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Referral","Code Test rationale","textarea","Yes","documented","Why both the evidential and public interest stages of the Full Code Test are met; or how each of the five conditions of the Threshold Test is met.","DG6 Annex 4 ""Code Test"" — ""the reasons why both the evidential and public interest stages of the Full Code Test are met; or how each of the 5 conditions of the Threshold Test is met""; DG6 4.17","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Referral","Decision sought","textarea","Yes","documented","An outline of the circumstances and the specific decision or advice sought from the prosecutor, including any other issues on which the prosecutor's decision is sought.","TWI 3.4.2.1 — ""an outline of circumstances and decision sought ... (mandatory)""; DG6 Annex 4 ""any other issues on which the decision of the prosecutor is sought""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Offence and proposed charges","Case type / flags","text","No","documented","State whether the case is flagged as, e.g., Domestic Abuse, Hate Crime (racist, disability, homophobic, transphobic), or another monitored category.","DG6 Annex 4 — ""case type: state whether it is considered e.g. Domestic Abuse or Hate Crime (Racist incident/Disability Hate Crime/Homophobic/Transphobic etc)""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Offence and proposed charges","Proposed charges","textarea","Yes","documented","Each proposed charge with its CJS/PNLD offence code and description, one per line. Proposed charges reflect the criminality alleged and may differ from the reasons for arrest.","DG6 Annex 4 — ""the proposed charge(s)""; TWI 4.1.2.4 — each proposed charge comprises a unique id, ""A CJS Code with matching description and offence category"", offence date/range and location; TWI 3.4.3.2 on proposed charges differing from the reasons for arrest","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Offence and proposed charges","Date (or date range) of offence","date","No","documented","The offence date. Where the charges span a period, state the range in the factual summary.","TWI 4.1.2.4 — ""A date, or date range, for the offence""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Offence and proposed charges","Location of offence","textarea","No","documented","Where the offence took place. The digital equivalent carries up to eight address lines and a postcode.","TWI 4.1.2.4 — ""A location of the offence comprising up to 8 address lines and a postcode""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Offence and proposed charges","Statutory time limits","text","No","documented","Any statutory time limit affecting the proposed charges, and the date it expires.","DG6 Annex 4 — ""Statutory Time Limits for any of the proposed charges""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Offence and proposed charges","Consents required","text","No","documented","Any consent needed for the proposed charges, e.g. Attorney General's consent or DPP's consent.","DG6 Annex 4 — ""consents relevant to any proposed charges e.g. A-G's Consent; DPP's Consent""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Offence and proposed charges","Factual summary","textarea","Yes","documented","A fair and balanced factual summary of the offence. Follow current CPS Best Practice Guidance on the Factual Summary; do not duplicate what is on the MG5.","DG6 Annex 4 — ""factual summary"" (footnote: ""See current CPS Best Practice Guidance on of Factual Summary""); DG6 Desktop Guide pre-charge table ""Factual summary of the offence(s) — MG03/CM01""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Offence and proposed charges","Identified or likely issues in the case","textarea","Yes","documented","The issues the case is likely to turn on, e.g. identification, consent, self-defence, continuity.","DG6 Annex 4 — ""the identified or likely issues in the case""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Offence and proposed charges","Suspect's account and understanding of the defence case","textarea","Yes","documented","The current understanding of the defence case and any explanation offered by the suspect. If interviewed, set out the questions asked that go to the points to prove and the identified issues, with the suspect's response (including no comment) in direct speech, not paraphrased. If not interviewed, give the reasons for that decision.","DG6 Annex 4 — ""the current understanding of the defence case, including any explanation offered by the suspect...""; ""if the suspect was interviewed, details of the questions asked relevant to the points to prove and identified issues... including the suspect's response (including no comment)"" (footnote: ""The questions and answers should be in direct speech and not paraphrased""); ""if the suspect was not interviewed, details of the reasons for that decision""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Offence and proposed charges","Analysis of strengths and weaknesses","textarea","Yes","documented","An objective analysis of the strengths and weaknesses of the case, not just the points in favour of charging.","DG6 Annex 4 — ""an analysis of the strengths and weaknesses of the case""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Offence and proposed charges","Anticipated plea and rationale","textarea","No","documented","The anticipated plea and the reasoning behind that view. For either-way cases, include the basis for treating the case as an anticipated guilty plea suitable for sentence in the magistrates' court.","DG6 Annex 4 — ""the anticipated plea and the rationale for that view""; DG6 4.8 (basis for treating an either-way case as an anticipated guilty plea)","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Offence and proposed charges","s.70 POCA committal sought","checkbox","No","documented","Tick to confirm a s.70 Proceeds of Crime Act 2002 committal should be sought to obtain a confiscation order, even where the offences are summary only.","DG6 Annex 4 — ""confirmation of whether a s.70 POCA committal should be sought in order to obtain a confiscation order, even if there are only summary only offences""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","The investigation","Reasonable lines of enquiry completed","textarea","Yes","documented","The reasonable lines of enquiry already conducted, including those that may assist the defence, and the results of those enquiries.","DG6 Annex 4 ""The investigation"" — ""the reasonable lines of inquiry already conducted, including those that may assist the defence, and the results of those inquiries""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","The investigation","Lines of enquiry not being pursued","textarea","No","documented","Lines of enquiry that will not be pursued and the rationale for that decision.","DG6 Annex 4 — ""the lines of inquiry which will not be pursued and the rationale for that decision""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","The investigation","Outstanding lines of enquiry","textarea","No","documented","Reasonable lines of enquiry still outstanding, with timescales for completion and an objective assessment of their likely impact on the decision to charge.","DG6 Annex 4 — ""any reasonable lines of inquiry which remain outstanding, together with timescales for completion of those inquiries and an objective assessment of the likely impact of those inquiries on the decision to charge""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","The investigation","Material subject to examination","textarea","No","documented","For mobile devices, social media accounts, audio-visual and third party material: the purpose and potential impact of any examination, why it is reasonable, whether consent was obtained, the examination strategy and parameters (including keywords and date/time ranges), and why anything was returned or left unexamined.","DG6 Annex 4 ""Material subject to examination"" — full itemised list","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","The investigation","Outstanding evidence","textarea","No","documented","Outstanding audio-visual, bad character, communications, forensic, identification or medical evidence: its nature, any target date, and any issues affecting availability.","DG6 Annex 4 ""Outstanding evidence"" — ""the nature of the outstanding material; any target date by which it will be available; any issues that may affect its availability""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","The investigation","Explanation of any delay","textarea","No","documented","Explain any delay between the offence date, the commencement of the investigation and this referral.","DG6 Annex 4 — ""an explanation for any delay between the offence date, commencement of the investigation and the referral to the CPS""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","The investigation","Linked suspects and investigations","textarea","No","documented","The status of any linked offender (pending arrest/interview, charged with court dates, dealt with by out-of-court disposal, no action) and of any linked investigation.","DG6 Annex 4 — ""the status of any linked offenders... the status of any linked investigation""; DG6 Desktop Guide ""Details of any linked suspect/offender""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Victims and witnesses","Victim and witness issues","textarea","No","documented","Whether any victim or witness has failed to engage, refused a statement, will not support a prosecution or may not attend, and their relevance; and for a repeat victim, a summary of previous incidents.","DG6 Annex 4 ""Victims and witnesses"" — itemised list including repeat victims","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Victims and witnesses","Special measures assessment","select","No","documented","Whether any victim or witness is vulnerable or intimidated, the basis of eligibility, and whether a special measures assessment (MG2) is attached.","DG6 Annex 4 — ""where any victim or witness is vulnerable or intimidated, the basis of eligibility for special measure; and a special measures assessment""; DG6 Desktop Guide ""Any special measures applications (MG02)""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Victims and witnesses","Victim Personal Statement status","select","No","documented","Whether a VPS (or business/community impact statement) has been offered, and whether it has been taken, is yet to be taken, is to be read out, is to be read by the victim, or has been declined.","DG6 Annex 4 — ""whether a Victim Personal Statement (VPS/ISB/CIS) has been offered and: has been taken or is yet to be taken; is to be read out; is to be read out by the victim; has been declined by the victim""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Other considerations","Other considerations","textarea","No","documented","Matters of local or public interest, other confidential information, whether any sources of information require protecting, and the views of the investigating officer.","DG6 Annex 4 ""Other considerations"" — ""any matters of local or public interest; any other confidential information; any views of the investigating officer""; and under ""The investigation"", ""whether any sources of information require protecting""","","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Disclosure and assurance","Information about potentially disclosable material","textarea","No","documented","Information about any material identified as potentially undermining the prosecution case or assisting the defence, with the investigator's rationale, where the unused material schedules cannot be provided with the referral.","DG6 Annex 3 — ""information about any material identified as potentially undermining the prosecution case or assisting the defence, in addition to the investigators' rationale""; DG6 Desktop Guide ""Information regarding any material that could undermine""","","",""
