"Form","Official form name","Question for the practitioner","REVIEW — Answer","REVIEW — Comments"
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","How the MG2 relates to the special-measures boxes on the rear of the MG11 and to the vulnerable/intimidated flags on the MG9 witness list: the same information is captured in three places, and only a practitioner can say which the CPS actually reads.","",""
"MG2","Special Measures Assessment (printed title: Witness Assessment for Special Measures)","Whether 'Age' should be a stored field or derived from date of birth — the paper form prints both, but a digital form storing both invites them to disagree.","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Whether the force in question still uses an MG3 document at all. The Home Office statistics publication records that ""Post September 29 2021, there was a move to Two Way Interface in forces which meant details formerly held in MG3 and MG3a forms are now held in CM01 and CM02"", and DG6 4.16 says the request ""must be submitted through the digital interface between the police and CPS, where available and used by the police"" — the MG3 is now the fallback route, not the default. A disclosure officer would know whether their force is on TWI/DCF or still on the Word template.","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","The literal box numbering, box order and box headings of the current MG3. No blank MG3 is published anywhere I could find, and the Manual of Guidance expressly states ""Do not attach a copy of the MG3 as this is strictly a communication between the police and CPS"" — so it is not disclosed to the defence and does not appear in force FOI form packs. The field list above is reconstructed from DG6 Annex 4 (which is the authoritative content specification) rather than read off the form, so labels are ours, not the form's.","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Which fields are mandatory in practice. DG6 says the information ""will be proportionate to the issues in the case and the complexity of the case"" (4.18) and that failure to provide required material ""may cause the referral to be rejected"" (4.16) — only a practitioner or the local CPS Area can say which boxes a referral is actually rejected for.","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","The current wording and answer options of the two disclosure questions added to the MG3 in June 2019, and whether they carried across into the CM02 / Digital Case File equivalent.","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Whether the decision-point list (pre-arrest / post-arrest / post-interview / post bail for further enquiries / bail for charging decision) and the consultation-method list (face to face / written / CPS Direct / CPS Daytime Direct) still appear on the current form. Both come from the 2012 interface specification describing the 2009-era MG3, and CPS Direct arrangements have since changed.","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Whether the prosecutor's page records a plain-language decision or the CMS disposal codes (A, B, B2, C, D, D2, D5, E, F, G, H, I, J, K, L, M, Z). Those codes are documented as CMS/interface values, not as printed MG3 options.","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","The MG3 / MG3A division in current use. The Home Office statistics page equates ""MG3a"" with CM02 (the CPS response), whereas the interface specification treats CM02 as the prosecutor's response and the MG3A as a further police report after an action plan. The Home Office 2026 guidance supports the latter (""Use this form after the CPS issues an action plan asking for more information or clarification""). A practitioner should settle which usage their force follows.","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Whether requests for Early Advice / Prosecution Advice (DG6 chapter 7 and Annex 6) go on the MG3 or by a separate local route, and whether they need a named suspect and ASN.","",""
"MG3","Pre-Charge Decision Request (formerly ""Report to Crown Prosecutor for Charging Decision"")","Whether the current form still carries a ""remand application"" summary box or simply cross-refers to the MG7, and likewise whether previous convictions are summarised on the MG3 or only cross-referred to MG16.","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Which version of the MG4 is actually in use. The template I obtained is marked ""2010/11"" and carries the obsolete ""RESTRICTED (when complete)"" protective marking; under the Government Security Classification Policy this would now be OFFICIAL / OFFICIAL-SENSITIVE, and the Home Office notes the NPCC has embargoed updates to the Manual of Guidance. A practitioner should confirm the current template version and marking.","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","How much the form varies by force. In practice the MG4 is generated by the force custody/records management system rather than typed on the national template, so field order, labels and any extra boxes are force-specific. Fields plausibly added by force systems but absent from the national template include place of birth, nationality, PNC ID and defence solicitor details.","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Which boxes custody sergeants treat as mandatory in practice — in particular ethnicity code, interpreter language/dialect, PPO and YO flags, and the ""Officer in case"" block when the charging officer is also the OIC.","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Whether the charge column should contain the verbatim PNLD wording, the CJS/CCCJS code plus particulars, or both, and how continuation sheets are numbered and cross-referenced locally.","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","The correct split within the MG4 family for written charges and requisitions. The 2010/11 templates divide MG4D (""Written Charge(s) — Attendance Required"") from MG4E (attendance not required, plea form and MCA statement of facts enclosed), and the CPS CMS enumeration matches that (""Postal Requisitions Attendance Required"" / ""Attendance Not Required""). The Home Office 2026 guidance instead describes MG4D as the youth form (with MG4D PG for a parent or guardian) and MG4E as the adult form. Which convention applies needs confirming before either is templated.","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Whether the caution wording printed on the current form is the standard s.34 CJPOA 1994 caution shown on the 2010/11 template or the restricted caution used where the detainee has not had access to legal advice.","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Whether the four-copy distribution shown on the form (File copy / Court copy / Custody record / Person charged) still applies, or whether digital service has replaced it.","",""
"MG4","Charge Sheet (printed heading ""CHARGE(S)""; called ""Charge record"" in the Manual of Guidance and ""MG 4 - Charges"" in CPS CMS)","Whether an MG4 is still produced at all where the force is on the Digital Case File or the police-CPS Two Way Interface. DG6 Annex 5 lists charge details as ""Provided digitally or MG4"", and the interface specification's CM03 message is described as the digital counterpart of the MG4.","",""
"MG6","Case File Evidence and Information","Which generation of the MG6 the client's users actually hold. Every specimen obtainable publicly is the Manual of Guidance 2010/11 form, headed 'RESTRICTED (when complete) - Not Disclosable'. 'RESTRICTED' was abolished in April 2014 by the Government Security Classifications Policy, and the Home Office (June 2026) describes current MG forms as marked OFFICIAL / OFFICIAL-SENSITIVE with chequered banding. A disclosure officer or CJU needs to confirm whether the in-use MG6 is a re-marked 2010/11 form or a locally revised one, and whether box numbering is unchanged.","",""
"MG6","Case File Evidence and Information","Whether the 'Rationale for police charging decision' page is still used, and against which paragraphs. The specimen cites 'DPP Guidance on Charging (v4)' paragraphs 4 and 18; the current instrument is the Director's Guidance on Charging, sixth edition (December 2020), which rewrote the police-charging provisions. Only a practitioner can say what the equivalent boxes are now expected to record.","",""
"MG6","Case File Evidence and Information","Which boxes are mandatory in practice. The printed form marks only the page 3 remand/intimidation section as one that MUST be completed; sections 1-9 are questions with no asterisks. Local CJU file-quality checklists, not the form, decide what counts as an acceptable MG6 — and HMICFRS has repeatedly criticised MG6 completion quality.","",""
"MG6","Case File Evidence and Information","Whether MG6 content is still entered on the form at all locally, or typed into the police-CPS digital interface. DG6 Annex 5 expects 'Information — provided digitally or MG3/MG6' and disclosure 'via digital message or, in default, by using forms MG3/MG6', and the Digital Case File is intended to absorb the MG forms into case management systems (Home Office guidance, June 2026, targets full operation across forces).","",""
"MG6","Case File Evidence and Information","Whether the force sends MG6 information pre-charge. National Disclosure Standards 2018 footnote 1 says pre-charge provision of MG6 schedules 'is subject to local arrangements', under review by the National File Standards working group; the Home Office guidance repeats that local CPS arrangements may govern MG6 information for charging decisions.","",""
"MG6","Case File Evidence and Information","How the Yes/No boxes should be captured. The PDF specimen has blank answer spaces and the .docx has no dropdown fields, so whether these are two-option selects, tri-state (Yes/No/Not applicable), or free text is a local convention.","",""
"MG6","Case File Evidence and Information","Whether one MG6 per file (Manual of Guidance Note 1) still holds in the client's workflow with multiple defendants, given that page 3 must be duplicated per remanded defendant — i.e. whether the product should model one MG6 with N remand pages, or N forms.","",""
"MG6","Case File Evidence and Information","Whether the MG6 remains genuinely non-disclosable in the client's use. The form states it is a police/CPS communication that forms no part of IDPC and is not copied to the defence or to the judge in indictable-only cases; a defence solicitor would want to know how consistently that is honoured now that the same content is often typed into digital case files.","",""
"MG12","Exhibit List","How to model the repeating table. MG12 is nothing but a 12-row table: the five exhibit fields above are columns, not single-value fields. The current FormFieldDefinition model has no repeating-group or table type, so a practitioner-acceptable MG12 needs either a new field type or an agreed delimited textarea convention (e.g. 'exhibit ref | description | property ref | person producing | current location | attached?'). Do not ship the five column fields as one-shot inputs.","",""
"MG12","Exhibit List","Whether the form is signed or attributed to an officer. The printed 2010/11 MG12 has no 'compiled by', signature, rank or collar-number box — only 'Date of completion' — yet a file with an unattributed exhibit list would be unusual. Whether local practice adds an officer name, or relies on the covering MG20 / file front sheet, needs confirming.","",""
"MG12","Exhibit List","Which version is in use. Both obtainable specimens are footed '2010/11' and headed 'RESTRICTED (when complete)', a marking abolished in April 2014 under the Government Security Classifications Policy. Whether the current MG12 is simply re-marked OFFICIAL, or has changed columns, needs a CJU or disclosure officer to confirm.","",""
"MG12","Exhibit List","Whether MG12 is produced at all now. The Home Office still lists it as in use (June 2026), but MG12 does not appear anywhere in the Director's Guidance on Charging sixth edition or its National File Standard, which requires 'key exhibits' to be sent via the police-CPS digital interface. Exhibit scheduling is also one of the functions the Digital Case File is intended to absorb. Whether the client's users file an MG12, an exhibit list generated by their case management system, or nothing, is a practice question.","",""
"MG12","Exhibit List","What 'Person producing' is expected to contain in the client's forces — full name, or name with rank and collar number, or the statement maker as named on the MG11 — and how exhibits produced by a third party (forensic provider, CCTV owner) are shown.","",""
"MG12","Exhibit List","Whether continuity or chain-of-custody information is recorded locally on the MG12. The national form has no continuity column; continuity is proved by statements, so any continuity field would be a local addition.","",""
"MG12","Exhibit List","Force-specific formats for the police property reference, and whether items still in a forensic provider's possession are entered as a property reference or only as a current location.","",""
"MG14","Conditional Caution","WHICH VERSION IS IN USE. The June 2026 MG14 template drops the 2013 'review date' finalisation block and the 'Rank & No. / Job title' box. A disposal officer must confirm whether their force still produces a single MG14 covering finalisation, or splits it (Cheshire generates 'MG14 INITIAL' and 'MG14 FINAL' from NICHE disposal templates). This decides whether the last three fields belong on this template at all.","",""
"MG14","Conditional Caution","WHETHER MG14 BELONGS IN THIS PRODUCT. MG14 is a police out-of-court-disposal record signed in a police station, not a prosecution case-file form a defence solicitor or prosecutor completes, and most forces now generate it from NICHE/custody systems rather than a Word template. Confirm the client's actual user for this form before building it.","",""
"MG14","Conditional Caution","REGIME RISK. Conditional cautions (ss.22–27 CJA 2003) are due to be replaced by diversionary and community cautions under PCSC Act 2022 Part 6, which would repeal the conditional caution provisions. Only s.116 (code of practice power) appears commenced as at August 2026, but commencement must be re-checked at release; the Criminal Justice Hub already describes MG14 as covering 'a conditional caution or equivalent out-of-court disposal record'.","",""
"MG14","Conditional Caution","MANDATORY IN PRACTICE. Which boxes a force will reject the form for leaving blank. Only the s.23(4) CJA 2003 elements (offence details, admission, consent, conditions, signature) are legally load-bearing; Gender, Ethnicity code, PNC No. and A/S No. are administrative and their local mandatory status is unknown.","",""
"MG14","Conditional Caution","ETHNICITY CAPTURE. Whether the single 2026 'Ethnicity code' box means the PNC code, the self-defined 16+1 code, or both — the 2013 form had two separate dropdowns.","",""
"MG14","Conditional Caution","COMPLIANCE PERIOD. Whether the generator should validate 'Date condition is to be met' against a maximum. MoJ guidance allows 16 weeks; Cheshire recommends 12 weeks or less; the real cap is the statutory time limit for prosecuting the original offence, which varies by offence.","",""
"MG14","Conditional Caution","YOUTH VARIANT. Whether youth conditional cautions need a separate template or route — the same MG14 is used, but a fresh MG14 must be signed whenever conditions are revised, and YOT/appropriate-adult boxes become mandatory.","",""
"MG14","Conditional Caution","PROTECTIVE MARKING. The template still prints the legacy 'RESTRICTED (when complete)' marking. Whether the generated PDF should carry that, or the current Government Security Classification, needs a client decision.","",""
"MG14","Conditional Caution","Whether the four-condition / limited-row layout of the printed table constrains what the generator may emit, or whether continuation is acceptable.","",""
"MG15","Interview Record","WHICH VARIANT(S) THE PRODUCT NEEDS. Five 2026 templates differ only by printed subtitle (ROTI / ROVI / Contemporaneous Notes / SDN / Voluntary Interview), and live force versions add 'Index of Interview with VIW'. Whether one template with a type selector is acceptable, or whether users expect separate forms per type, is a practitioner call.","",""
"MG15","Interview Record","AUTOFILL HAZARD ON 'PERSON INTERVIEWED'. MG15 covers both suspect interviews and visually recorded interviews of vulnerable/intimidated witnesses, so mapping this to `defendantName` would name the wrong person on a witness record. Whether a conditional mapping keyed on the record type is wanted needs deciding — the same limitation already noted for MG16 `subjectName`.","",""
"MG15","Interview Record","WHAT 'SIGNATURE (OTHER)' MEANS on the current template — second interviewer, transcriber, or interviewee. The three older specimens each label the single signature block differently ('interviewer/transcriber', 'transcriber', 'interviewer').","",""
"MG15","Interview Record","COUNTER COLUMN SEMANTICS. Whether forces still record tape counter positions, elapsed time, or numbered questions in the first column (ONS uses 'Question number'; Wiltshire's specimen has sporadic elapsed-time marks such as '5 mins').","",""
"MG15","Interview Record","TRANSCRIPTION STANDARD. What local procedure requires for a compliant ROTI or SDN — full transcript versus summary, and which passages must be verbatim. The official guidance only says 'use local procedures to get audio or visual interviews typed up'.","",""
"MG15","Interview Record","MG11 INTERACTION. Official guidance says an MG15 must be used in addition to an MG11 for statements recorded in audio or visual format. Whether the product should link or co-generate the pair, and who signs which, needs practitioner input.","",""
"MG15","Interview Record","FIELDS ON THE EXISTING PLACEHOLDER THAT ARE NOT MG15 BOXES: 'Caution administered' (the caution is transcribed in the body, per the ONS specimen) and 'Record offered to interviewee to read and sign' (a written-statement/PACE Code practice, not printed on any MG15 specimen found). Confirm with a disclosure officer before dropping them, in case a local version adds them.","",""
"MG15","Interview Record","DIGITAL CASE FILE. The interview record is a prime candidate for absorption into DCF case management. Whether the client's target forces already generate it from their case management system determines whether a template is still useful.","",""
"MG15","Interview Record","PROTECTIVE MARKING. The template still prints the legacy 'RESTRICTED (when complete)' rather than a current Government Security Classification.","",""
"MG16","Bad Character or Dangerous Offender Information","Which MG16 version each force actually uses. The only version-stamped specimen located is 'MG16 2010/11', and the NPCC has embargoed updates to the Manual of Guidance (2011) — a disclosure officer must confirm whether the local template is still the 2010/11 layout, a force-branded redraft, or a screen in the force CMS (Athena / Niche / Connect / Clue) rather than a document at all.","",""
"MG16","Bad Character or Dangerous Offender Information","Protective marking. The specimen carries 'RESTRICTED (when complete)' in header and footer, but RESTRICTED was abolished by the Government Security Classifications scheme in April 2014; current force copies almost certainly read 'OFFICIAL-SENSITIVE'. Confirm the exact marking string before rendering it on generated output.","",""
"MG16","Bad Character or Dangerous Offender Information","Whether MG16 survives as a form under the Digital Case File (DCF) rollout in the target force. The Home Office guidance (9 June 2026) says DCF 'will effectively integrate the MG forms into the case management systems' but is 'still some way from full adoption', and DG6's National File Standard rows read 'Provided digitally or MG4' / 'digitally or MG6' — so bad character information may already be captured as structured CMS fields locally. Which MG16 boxes map onto the local digital equivalent is force-specific.","",""
"MG16","Bad Character or Dangerous Offender Information","Repeating rows. The real form is a table of 4-5 rows, one per charge, each with its own BC/DO ticks. The flattening proposed here (one charges textarea, one evidence textarea, two form-level ticks) loses the per-charge tick. Confirm with practitioners whether per-charge granularity matters, and what forces do when the rows run out (continuation sheet? second MG16?).","",""
"MG16","Bad Character or Dangerous Offender Information","Which boxes are mandatory in practice. DG6 requires 'any other considerations e.g. bad character' in the file but does not mandate MG16 itself, and the form marks nothing as mandatory. Only a disclosure officer / CPS reviewer can say what a submission is bounced for in practice (typically: bare PNC printout with no MO, plea or basis of plea).","",""
"MG16","Bad Character or Dangerous Offender Information","Whether the product should also implement the separate prosecutor's form. Gateway selection, facts of the misconduct, admissibility reasons, extension-of-time reasons and the notice date — all of which the repo currently has under MG16 — belong to the MoJ/CPRC form 'Notice to introduce evidence of a defendant's bad character' (CrimPR 21.4(2), file ebc003), served by the prosecutor on the court and other parties. A practitioner should settle whether a police-facing product exposes that form at all.","",""
"MG16","Bad Character or Dangerous Offender Information","Non-defendant (s.100) bad character routing. MG16 is defendant-only, so the repo's subjectType switch has no counterpart on the form (and the commit note about the s.100 mapping hazard rests on that mistaken premise — subject name can safely map to the case defendant). Confirm how the force records prosecution-witness convictions for s.100 purposes: revelation to the prosecutor and disclosure via MG6/MG6C, or a local schedule.","",""
"MG16","Bad Character or Dangerous Offender Information","Whether the CPS sign-off block should be exposed to police users at all, or rendered as read-only 'for CPS use'.","",""
"MG16","Bad Character or Dangerous Offender Information","Local policy on including spent convictions, PNDs, out-of-court disposals and unproven allegations, and how much detail on domestic abuse incident logs goes on the MG16 versus the unused material schedules.","",""
"MG16","Bad Character or Dangerous Offender Information","Whether an MG16 is expected to be refreshed after a not guilty plea so the prosecutor can meet the CrimPR 21.4 deadlines, or whether the prosecutor works from the original pre-charge MG16.","",""
