"Jira key","Type","Jira status","Summary","Our status","Evidence in the repo","Ticket UUID (for the API)"
"LER-1032","Story","To Do","MG2 - Taped Interview","wrong-form","MG2 is the Special Measures Assessment; this title is the mismatch LER-1205 tracks","8453df8c-df0b-4cbb-b1a9-e9c5d2747e13"
"LER-1033","Story","Done","MG3 - File Prep & Review","delivered","MG3 rebuilt, 59 fields, full provenance, conformance sourcing tier","c7c5a37a-1f51-4789-a2d4-7aeeb927eaa9"
"LER-1034","Story","Done","MG4 - Charge / Requisition","delivered","MG4 rebuilt, 36 fields — e2e/mg4-charge-sheet.spec.ts, 9 checks","4b0a7899-ce88-41ac-be00-192f19e7c0c1"
"LER-1035","Story","Done","MG12 - Exhibits List","delivered","MG12 rebuilt, 7 fields, full provenance, conformance sourcing tier","bc60279f-f2c3-46d5-98a5-74539c44c08c"
"LER-1036","Story","Done","MG5 - Case Summary","delivered","MG5 templateVersion 2, 13 fields — the other quality bar","29f32324-1d40-4667-a658-57be22576567"
"LER-1037","Story","To Do","MG14 - Eyewitness Statement","wrong-form","MG14 is the Conditional Caution per official sources","883bcdbf-2895-4a7f-aaa3-133e8286fe12"
"LER-1038","Story","Done","MG15 - Non-Taped Interview","delivered","MG15 rebuilt, 18 fields, full provenance, conformance sourcing tier","e4cb5cd6-f413-48e7-ab3f-e6d99d8bd465"
"LER-1039","Story","Done","MG16 - Bad Character","delivered","MG16 rebuilt, 19 fields — MG16 subjectName stays unmapped (ebc003 question)","d4261c20-208c-4d89-aec1-a9d405299259"
"LER-1040","Story","Done","QA: Definition of Done checks","delivered","closed by PR #115 — ""every one of the 11 forms opens and renders its own field set""","5efe09c6-a2bc-41b6-9a3d-eff3a2564a30"
"LER-1041","Story","To Do","Case system integration layer","not-started","","b660f056-261f-4d6f-ae00-facfc92b75fa"
"LER-1042","Story","Done","Read linked case file","delivered","GET /api/cases/:id, access-scoped; e2e colleague-only case is unreadable","8cf683c0-1099-4543-80cd-66bfaee6fbfb"
"LER-1043","Story","Done","Field mapping","delivered","libs/shared mapsTo + resolveCaseField; e2e provenance check","14394124-4478-4d57-ab88-b1f3298304dd"
"LER-1044","Story","Done","Pre-fill matching fields","delivered","e2e: ""first open of a case-linked draft populates and summarises""","1d7cff81-41ae-4f65-8510-40924fa9f13f"
"LER-1045","Story","Done","Auto-filled badge","delivered","e2e: ""filled fields carry an Auto-filled badge with a Clear affordance""","28eb4684-bbb3-4be7-8ee5-9e86552dd11a"
"LER-1046","Story","Done","Accept, edit or clear per field","delivered","e2e: clearing and editing a filled field makes it manual","f45e2c9e-dbd4-4ec8-a52f-92693d167a79"
"LER-1047","Story","Done","Population summary","delivered","e2e: ""the summary counts only mappable fields"" + dismissible","de0b42b7-da03-48b0-820a-52a35ba9a1ac"
"LER-1048","Story","Done","Non-mappable field flagging","delivered","e2e: ""unmapped fields carry no auto-fill note""; MG16 subjectName check","b74a6117-b68a-4612-a683-f2200afca023"
"LER-1049","Story","Done","Ambiguous data handling","delivered","e2e: Bellamy two offence dates -> ambiguous note","0ef71c14-732c-4429-87d6-503440a89420"
"LER-1050","Story","Done","Never overwrite existing values","delivered","e2e: ""population never overwrites a manual value on re-run""","e671f73f-8a29-4d42-b05c-68b1bb8e2e72"
"LER-1051","Story","Done","Detect post-population case change","delivered","e2e: ""a case that changed after population surfaces the banner""","54e5faf8-ac12-4785-b2e2-ec892e3e52ae"
"LER-1052","Story","Done","Re-run population option","delivered","e2e: same check — Re-run clears the banner","9c1af75d-f3dd-4fc6-90a9-3f47865ffb8a"
"LER-1053","Story","Done","Read-only guarantee on case file","delivered","no write path to Case exists in the API","10ecc61c-166f-40c4-885e-2f808b1ec842"
"LER-1054","Story","Done","Manual import fallback","not-started","","2df5395b-e930-4b93-8ce2-ed1c554dd895"
"LER-1055","Story","Done","QA: Definition of Done checks","delivered","closed by PR #115 — ""EVERY field the run filled carries the badge, on two different forms""","2e11a360-69fa-4d10-bdc9-b1d93baaf9fa"
"LER-1056","Story","Done","MG11 definition and layout","delivered","MG11 templateVersion 2, 15 fields — the quality bar","95d14aa9-00b5-4128-9400-0548d045b855"
"LER-1057","Story","Done","Wizard shell","delivered","e2e: ""renders four steps, and only MG11 uses the wizard""","8c36fd41-1a12-45ef-a22a-34c8d73efa10"
"LER-1058","Story","Done","Step 1: witness details","delivered","e2e: ""step 1 holds witness details including the new title field""","1b4830e3-d896-48d9-aab2-515dd38ec77d"
"LER-1059","Story","Done","Step 2: narrative text area","delivered","NarrativeField component + e2e narrative checks","fd9890cd-1ea1-4278-861e-e4aad221b30c"
"LER-1060","Story","Done","Step 2: spell-check","delivered","e2e: spellcheck attribute asserted","e282700a-a50d-4b0d-ad48-86a005f2b25f"
"LER-1061","Story","Done","Step 2: word count","delivered","e2e: ""a live word count tracks the narrative""","821c64a4-f32a-4699-ba44-f0fb3886742a"
"LER-1062","Story","Done","Step 2: legal language hook","delivered","delivered by UC-06 (LER-1223..1237, PR #109) — e2e/uc06-legal-language.spec.ts","98e7f109-c260-4b56-b0bd-51834d894f05"
"LER-1063","Story","Done","Step 3: declaration displayed read-only","delivered","e2e: ""the declaration is read-only text, not an editable field""","bde3a4bb-7e6d-49da-8132-715260dabeac"
"LER-1064","Story","Done","Step 3: confirmation checkbox","delivered","e2e: declaration confirmation gates advance","24c07b58-1828-4663-912f-8263fd69b93c"
"LER-1065","Story","Done","Block advance without confirmation","delivered","e2e: ""cannot advance past the declaration until it is confirmed""","0c87d14b-7735-49be-a44c-f5687d0b6f64"
"LER-1066","Story","Done","Step 4: signature date field","delivered","step 4 fields + signature note; dates now DD/MM/YYYY","984149eb-6ce2-478e-a8f9-6f8eaca6e41b"
"LER-1067","Story","Done","Declaration as immutable constant","delivered","MG11_DECLARATION in libs/shared, not a field value","9939e2b5-74e0-4c2e-a302-a60c0d214689"
"LER-1068","Story","Done","Literal typing of declaration","superseded","replaced by MG11_DECLARATION + assertDeclarationIntegrity() (LER-1067/1069/1070)","4adc9d89-d17e-4d00-b1cb-fb1232271e26"
"LER-1069","Story","Done","SHA-256 hash of declaration","delivered","MG11_DECLARATION_SHA256","d85deff1-06ab-427c-9918-90784905db3f"
"LER-1070","Story","Done","Startup hash verification","delivered","e2e: ""the API refuses to start on a tampered declaration""","70bee92f-dfa0-4d2d-ae6e-e0a3a423df11"
"LER-1071","Story","To Do","Page count from renderer","not-started","","89c89241-964f-49f2-920d-1bfb4308f389"
"LER-1072","Story","To Do","Page count interpolation","not-started","","232513a3-d31a-40ed-9a97-8e2243a387dd"
"LER-1073","Story","To Do","Page count assertion","not-started","","c0498087-7aaf-41ed-9275-be74c280d2a3"
"LER-1074","Story","Done","Hearsay and opinion detection","delivered","e2e: all five scope phrases flagged + mixed case","be60753a-57c6-4fb6-9b8c-8f0cf1b2341e"
"LER-1075","Story","Done","Amber underline, non-blocking","delivered","e2e: mark alignment + ""flags never block saving, navigating or completing""","4fae7e7a-14a2-4e69-a3e8-2087d518c7a0"
"LER-1076","Story","Done","Vulnerable witness fields","delivered","e2e: under-18 DOB and specialMeasures both reveal the field + header chip","238f0396-978c-4943-8d8e-f6aef3fc8bd5"
"LER-1077","Story","To Do","Senior solicitor review - wording","blocked","needs a practitioner — see docs/review/*.csv","fbb4e4da-bcf8-4da2-83b1-f99f2440587e"
"LER-1078","Story","To Do","Senior solicitor review - output","blocked","needs a practitioner — see docs/review/*.csv","3eb7fb0b-f5e6-4a32-8cf9-fd2c46ba3239"
"LER-1079","Story","Done","QA: Definition of Done checks","delivered","e2e/uc03-mg11-wizard.spec.ts, 21 checks; UC-03 #1 still Blocked on the wording","de204430-9078-4a4d-b545-a47210e2e3d2"
"LER-1080","Story","Done","MG6 definition and layout","delivered","UC-04 build, PR #85 (26ee51e, d6b68bb) — e2e/uc04-mg6-schedule.spec.ts, 22 checks; pack docs/usecases/uc-04/","9d8bd840-7677-4763-8327-21ce53774ee9"
"LER-1081","Story","Done","Add Item action","delivered","UC-04 build, PR #85 (26ee51e, d6b68bb) — e2e/uc04-mg6-schedule.spec.ts, 22 checks; pack docs/usecases/uc-04/","6997315c-ac67-41d2-a242-e57ef755a625"
"LER-1082","Story","Done","Row fields","delivered","UC-04 build, PR #85 (26ee51e, d6b68bb) — e2e/uc04-mg6-schedule.spec.ts, 22 checks; pack docs/usecases/uc-04/","6c33d7f1-6bf7-4bf8-8a9b-d253bfd83080"
"LER-1083","Story","Done","Stable item identity","delivered","UC-04 build, PR #85 (26ee51e, d6b68bb) — e2e/uc04-mg6-schedule.spec.ts, 22 checks; pack docs/usecases/uc-04/","ee7b13c2-05d9-46f9-ab3c-ef57a3077b85"
"LER-1084","Story","Done","Computed ordinal numbering","delivered","UC-04 build, PR #85 (26ee51e, d6b68bb) — e2e/uc04-mg6-schedule.spec.ts, 22 checks; pack docs/usecases/uc-04/","65a37f3c-3dc3-4e9b-9b9f-377da0ede861"
"LER-1085","Story","Done","Continuous sequence guarantee","delivered","UC-04 build, PR #85 (26ee51e, d6b68bb) — e2e/uc04-mg6-schedule.spec.ts, 22 checks; pack docs/usecases/uc-04/","b57a45e9-b005-4855-95a3-8dff05492d71"
"LER-1086","Story","Done","Renumbering confirmation dialog","delivered","UC-04 build, PR #85 (26ee51e, d6b68bb) — e2e/uc04-mg6-schedule.spec.ts, 22 checks; pack docs/usecases/uc-04/","0db6f829-ce16-43e0-b20e-d3a52fafdcb0"
"LER-1087","Story","Done","Renumber on delete","delivered","UC-04 build, PR #85 (26ee51e, d6b68bb) — e2e/uc04-mg6-schedule.spec.ts, 22 checks; pack docs/usecases/uc-04/","8e81e4e2-bf26-45ae-a9b0-461dbe7c73ad"
"LER-1088","Story","Done","Renumber on edit and reorder","delivered","UC-04 build, PR #85 (26ee51e, d6b68bb) — e2e/uc04-mg6-schedule.spec.ts, 22 checks; pack docs/usecases/uc-04/","54348f84-da17-4767-83ac-876a1d62d017"
"LER-1089","Story","Done","Route sensitive items to UC-07","delivered","UC-04 build, PR #85 (26ee51e, d6b68bb) — e2e/uc04-mg6-schedule.spec.ts, 22 checks; pack docs/usecases/uc-04/","e9806174-0544-49c3-804d-5e92b9d0fd44"
"LER-1090","Story","Done","Completeness check","delivered","UC-04 build, PR #85 (26ee51e, d6b68bb) — e2e/uc04-mg6-schedule.spec.ts, 22 checks; pack docs/usecases/uc-04/","95180c9a-173f-4329-a967-7b27601cb4c6"
"LER-1091","Story","Done","Sparse schedule threshold","delivered","UC-04 build, PR #85 (26ee51e, d6b68bb) — e2e/uc04-mg6-schedule.spec.ts, 22 checks; pack docs/usecases/uc-04/","529cfda4-251b-4026-be81-b316a9b6c9cf"
"LER-1092","Story","Done","Dynamic threshold for summary matters","delivered","UC-04 build, PR #85 (26ee51e, d6b68bb) — e2e/uc04-mg6-schedule.spec.ts, 22 checks; pack docs/usecases/uc-04/","bf415a4a-887e-416c-9520-415d7d65a77a"
"LER-1093","Story","Done","QA: Definition of Done checks","delivered","UC-04 build, PR #85 (26ee51e, d6b68bb) — e2e/uc04-mg6-schedule.spec.ts, 22 checks; pack docs/usecases/uc-04/","ec0be7df-4bc7-4b47-b9d8-a9cdd045b613"
"LER-1094","Story","Done","Validation on field blur","delivered","delivered by LER-1209 (PR #85)","90163baf-0048-4007-80fa-06eb7b3bd02b"
"LER-1095","Story","Done","Required field error state","delivered","delivered by LER-1210 (PR #85)","a7b5a91e-9678-4a04-9079-e0aac114251f"
"LER-1096","Story","Done","Date format enforcement","delivered","e2e/uk-dates.spec.ts — 8 checks, DD/MM/YYYY with ISO storage","6a9e897a-f7a1-4ca9-87ac-4d09349bd155"
"LER-1097","Story","Done","Impossible date rejection","delivered","delivered by LER-1211 (PR #85)","53d290d1-8c2f-4416-b432-bbdcfc22cec7"
"LER-1098","Story","To Do","CPS reference validation","blocked","engineering done (LER-1214); needs a ruling on whether a CPS reference is hand-entered","98d72c9b-9586-4db8-a0c5-6216cb884295"
"LER-1099","Story","To Do","Officer collar number check","blocked","engineering done (LER-1213); needs a decision on a dedicated field + force registry","82a7a832-d6f9-48b7-8a69-254fbefccddb"
"LER-1100","Story","Done","Unverified format warning","delivered","delivered by LER-1212 (PR #85)","c5b8dd4b-5bb9-4037-9550-413ab13fb6f7"
"LER-1101","Story","Done","Cross-field trigger","delivered","delivered by LER-1215 (PR #85)","b990c1a8-4556-4fad-8c4d-fab5ffec03d3"
"LER-1102","Story","Done","Offence date vs charge date rule","delivered","delivered by LER-1217 (PR #85)","f73adf4c-b720-4a96-b055-e1fcccd5d674"
"LER-1103","Story","Done","Consistency Issues panel","delivered","delivered by LER-1216 (PR #85)","bda6ca9b-0b56-4f25-a198-e9422bbc2346"
"LER-1104","Story","Done","Cross-form rules","delivered","cross-form rules — delivered as LER-1259 (UC-08 crossRef checks); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","746402cc-ad14-4daa-a34d-fee0a7f9e9e2"
"LER-1105","Story","Done","Blocking vs advisory classification","delivered","delivered by LER-1208 (PR #85)","017d6f6c-6d05-4d16-8e22-0ed875c4b8cb"
"LER-1106","Story","Done","Advisory override with reason","delivered","advisory override with reason — delivered as LER-1265 (acknowledge-to-bypass, reason required); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","63f40d23-d70e-4982-a2dc-fe2969b02acd"
"LER-1107","Story","Done","Finalise blocked on required-field errors","delivered","finalise gate: POST /drafts/:id/finalise 409s while required-field errors exist (drafts.service.ts finalise(); uc08 spec: blocking issues cannot be bypassed); flipped Done 24 Aug with evidence comment","332b17c5-af40-4556-9017-64f1c7febbd7"
"LER-1108","Story","Done","QA: Definition of Done checks","delivered","delivered by LER-1222 (PR #85) — 22 checks","482f1a89-fa05-4ea8-9868-91d2f00ba5ae"
"LER-1109","Story","To Do","Isolated AI microservice","blocked","boundary shipped by LER-1233, unconfigured by default; which service is uc-06 Q6","ad5fffed-96ee-43b7-9d12-6bab9f33f67b"
"LER-1110","Story","To Do","Constrained prompt","blocked","depends on uc-06 Q6","3165a7d4-7dc8-4610-8f42-d8d202965a4f"
"LER-1111","Story","Done","Side panel on narrative focus","delivered","delivered by LER-1225 (PR #109)","f1b09a07-d41a-4ca8-90aa-208ce795220f"
"LER-1112","Story","To Do","Suggestion generation","blocked","STANDARD_PHRASES ships empty by design; needs sourced phrasing (uc-06 Q1/Q2)","a7f56143-4738-4842-8f6a-a3c2230bd973"
"LER-1113","Story","Done","Informal language flags","delivered","delivered by LER-1226 (PR #109)","c2d3b098-ff9c-40ab-b53c-e5e5b0269e80"
"LER-1114","Story","Done","Amber highlight in field","delivered","delivered by LER-1226 (PR #109)","ee659a32-4e8e-4365-96cb-c035cce4f7b7"
"LER-1115","Story","Done","Completeness hints","delivered","delivered by LER-1228 (PR #109)","1afaa5d8-eaea-4b23-9b13-c936b3687a52"
"LER-1116","Story","Done","Insert button per suggestion","delivered","delivered by LER-1229 (PR #109)","02527fc5-a2a0-40e0-9123-247be405c316"
"LER-1117","Story","Done","Insert at cursor position","delivered","delivered by LER-1229 (PR #109)","bd82aadb-ecf5-44e0-8bf4-69427f64ee8c"
"LER-1118","Story","Done","No write path to any form","delivered","delivered by LER-1231 + LER-1233 (PR #109) — structural guards","0ce70d38-ed0f-4338-9c32-8dc020494c4d"
"LER-1119","Story","Done","Dismiss suggestion","delivered","delivered by LER-1232 (PR #109)","759bdf5e-405a-4145-a288-c3060c514d88"
"LER-1120","Story","Done","Dismissed items do not reappear","delivered","delivered by LER-1232 (PR #109)","f488ac3b-e4f2-410b-9af5-7ee07a7b3dfd"
"LER-1121","Story","Done","Panel disable toggle","delivered","delivered by LER-1232 + the scope alt flow (PR #109)","ee4f145f-998c-4928-92da-c5d400257a9b"
"LER-1122","Story","Done","Insert actions logged","delivered","delivered by LER-1230 (PR #109) — LANGUAGE_SUGGESTION_INSERTED","2c3f215f-74b3-470a-8f13-61815db166e7"
"LER-1123","Story","Done","Graceful degradation","delivered","delivered by LER-1234 (PR #109)","17c6557d-5464-434f-8761-33aa47babcea"
"LER-1124","Story","To Do","Solicitor review of sample outputs","not-started","","c1277570-3916-406c-82d8-a86ec8d1ebd7"
"LER-1125","Story","Done","QA: Definition of Done checks","delivered","delivered by LER-1237 (PR #109) — 25 checks","ec73a033-3cb0-4e97-8c45-e4ce29948992"
"LER-1126","Story","Done","MG6D auto-activation","delivered","client original — delivered by LER-1240 (map: docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","fc8550ff-e555-46f0-84c5-cccf8df419d4"
"LER-1127","Story","Done","Restricted access banner","delivered","client original — delivered by LER-1241 (map: docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","7540280e-37b7-4b26-9418-92b766cd424b"
"LER-1128","Story","Done","Handling instructions pre-populated","delivered","client original — delivered by LER-1242 (map: docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","ac011cc4-0f26-4b36-8cff-381bf928c34c"
"LER-1129","Story","Done","Confirmation before editing","delivered","client original — delivered by LER-1243 (map: docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","00b4380d-1daa-4ef7-a4b9-c91a9778fce8"
"LER-1130","Story","Done","Confirmation not bypassable in UI","delivered","client original — delivered by LER-1244 (map: docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","6afb2171-2e0f-41df-945e-b32280d22ea4"
"LER-1131","Story","Done","Confirmation not bypassable at API","delivered","client original — delivered by LER-1245 (map: docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","fa76b824-ce48-492c-bbce-92f1b98821a6"
"LER-1132","Story","Done","PII reminder panel","delivered","client original — delivered by LER-1246 (map: docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","945f5c10-ac4f-4409-9b6e-e5062e3d2b51"
"LER-1133","Story","Done","Practice direction link","delivered","client original — delivered by LER-1247 (map: docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","c9578ccf-4f5d-4301-8a77-ac2f43b03e4f"
"LER-1134","Story","Done","Exclude sensitive items from exports","delivered","client original — delivered by LER-1248 (map: docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","c12ccddc-87a9-4731-95e6-b251e132d512"
"LER-1135","Story","Done","Access logging","delivered","client original — delivered by LER-1249 (map: docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","3e5f8c0e-6f48-4992-8742-555b93ecea1f"
"LER-1136","Story","Done","Access log immutability","delivered","client original — delivered by LER-1250 (map: docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","3dd80da3-e824-46bd-b6ef-3908dc2f2475"
"LER-1137","Story","Done","Step-up acknowledgement per access","delivered","client original — delivered by LER-1251 (map: docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","be19e23f-e2fe-4ef3-944e-de89e3408fee"
"LER-1138","Story","Done","Locked section for unauthorised users","delivered","client original — delivered by LER-1252 (map: docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","d120151e-4757-492b-85d4-e3db9df9abec"
"LER-1139","Story","Done","Required permission level shown","delivered","client original — delivered by LER-1253 (map: docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","44355edd-6714-4bcc-ab78-24faea104f4c"
"LER-1140","Story","Done","QA: Definition of Done checks","delivered","client original — delivered by LER-1254 (map: docs/usecases/uc-07/open-questions.md); e2e/uc07-sensitive-material.spec.ts; PR #139 (merge 9d47a9d), save-audit fix in PR #148 (e2263d8)","9fcefefa-f968-46e4-90fe-7a6060bc7e0b"
"LER-1141","Story","Done","Review and Finalise trigger","delivered","client original — delivered by its UC-08 ticket (map: docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","ddba5843-4e65-4720-9302-a58f05b68d48"
"LER-1142","Story","Done","Check 1 - required fields","delivered","client original — delivered by its UC-08 ticket (map: docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","0e139801-907a-4aa8-85c8-0d60e253a33f"
"LER-1143","Story","Done","Check 2 - date validity and sequence","delivered","client original — delivered by its UC-08 ticket (map: docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","fed4026c-f8d5-4d0c-9703-7be650a2636e"
"LER-1144","Story","Done","Check 3 - cross-form references","delivered","client original — delivered by its UC-08 ticket (map: docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","751977bf-8d9b-4b3a-85e3-6560a1b73964"
"LER-1145","Story","Done","Check 4 - MG6D confirmation","delivered","client original — delivered by its UC-08 ticket (map: docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","e6d321a9-3e86-46b1-8fe0-3cce9bd8f5ac"
"LER-1146","Story","Done","Issue checklist display","delivered","client original — delivered by its UC-08 ticket (map: docs/usecases/uc-08/open-questions.md); e2e/uc08-review-quality.spec.ts; PR #142 (merge 83b6148), audit-order fix PR #144 (4cbbdcd)","21d82196-ceaf-48fe-97af-087302c69cdd"
